¼ vulgar fraction one fourth (1/4)
½ vulgar fraction one half (1/2)
¾ vulgar fraction three fourths (3/4)
⅐ vulgar fraction one seventh (1/7)
⅑ vulgar fraction one ninth (1/9)
⅒ vulgar fraction one tenth (1/10)
⅓ vulgar fraction one third (1/3)
⅔ vulgar fraction two thirds (2/3)
⅕ vulgar fraction one fifth (1/5)
⅖ vulgar fraction two fifths (2/5)
⅗ vulgar fraction three fifths (3/5)
⅘ vulgar fraction four fifths (4/5)
⅙ vulgar fraction one sixth (1/6)
⅚ vulgar fraction five sixths (5/6)
⅛ vulgar fraction one eighth (1/8)
⅜ vulgar fraction three eighths (3/8)
⅝ vulgar fraction five eighths (5/8)
⅞ vulgar fraction seven eighths (7/8)
⅟ fraction numerator one (1/)
Ⅰ Roman numeral one (1)
Ⅱ Roman numeral two (2)
Ⅲ Roman numeral three (3)
Ⅳ Roman numeral four (4)
Ⅴ Roman numeral five (5)
Ⅵ Roman numeral six (6)
Ⅶ Roman numeral seven (7)
Ⅷ Roman numeral eight (8)
Ⅸ Roman numeral nine (9)
Ⅹ Roman numeral ten (10)
Ⅺ Roman numeral eleven (11)
Ⅻ Roman numeral twelve (12)
Ⅼ Roman numeral fifty (50)
Ⅽ Roman numeral one hundred (100)
Ⅾ Roman numeral five hundred (500)
Ⅿ Roman numeral one thousand (1000)
ⅰ small Roman numeral one (1)
ⅱ small Roman numeral two (2)
ⅲ small Roman numeral three (3)
ⅳ small Roman numeral four (4)
ⅴ small Roman numeral five (5)
ⅵ small Roman numeral six (6)
ⅶ small Roman numeral seven (7)
ⅷ small Roman numeral eight (8)
ⅸ small Roman numeral nine (9)
ⅹ small Roman numeral ten (10)
ⅺ small Roman numeral eleven (11)
ⅻ small Roman numeral twelve (12)
ⅼ small Roman numeral fifty (50)
ⅽ small Roman numeral one hundred (100)
ⅾ small Roman numeral five hundred (500)
ⅿ small Roman numeral one thousand (1000)
ↀ Roman numeral one thousand (1000)
ↁ Roman numeral five thousand (5000)
ↂ Roman numeral ten thousand (10000)
Ↄ Roman numeral reversed one hundred (100)
ↄ Latin small letter C reversed
ↅ Roman numeral six late form (6)
ↆ Roman numeral fifty early form (50)
ↇ Roman numeral fifty thousand (50000)
ↈ Roman numeral one hundred thousand (100000)
↉ vulgar fraction zero thirds; used in baseball scoring (0/3)
