not equal * ≠
approximately equal * ≈
strict inequality * >
strict inequality * <
greater-equal * ≥
less-equal * ≤
plus-minus * ±
times * ×
division * ÷
square root * √
percent * %
per-mille * ‰
angle * ∠
right angle * ∟
degree * °
prime * ′
double prime * ″
perpendicular * ⊥
parallel * |
congruent * ≅
similarity * ~
triangle * Δ
equal by definition * ≜
proportional * ∝
much less than * ≪
much greater than * ≫
summation * ∑
Euler's number * e
Euler-Mascheroni * γ
golden ratio * φ
dot	product * ·
tensor product * ⊗
population mean * μ
intersection * ∩
union * ∪
subset * ⊆
proper subset * ⊂
not subset * ⊄
superset * ⊇
proper superset * ⊃
not superset * ⊅
implies * ⇒
equivalent - if and only if (iff) * ⇔
equivalent - if and only if (iff) * ↔
for all * ∀
there exists * ∃
there does not exists * ∄
therefore * ∴
because / since * ∵
integral * ∫
closed contour / line integral * ∮
closed surface integral * ∯
closed volume integral * ∰
delta function * δ
lemniscate infinity symbol * ∞
Alpha * α
Beta * β
Gamma * γ
Delta * δ
Epsilon * ε
Zeta * ζ
Eta * η
Theta * θ
Iota * ι
Kappa * κ
Lambda * λ
Mu * μ
Nu * ν
Xi * ξ
Omicron * ο
Pi * π
Rho * ρ
Sigma * σ
Tau * τ
Upsilon * υ
Phi * φ
Chi * χ
Psi * ψ
Omega * ω
